City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,,,,,,
barcelona,SEQ+REG2,80,531,2626,1652,310,389.592,389.592,0,18,14133.26,,AVG,1243.554889,1224.626778,1208.749444,1172.531111,1151.786667,1152.06,,,,,,,,,
barcelona,SEQ+REG3,80,531,2626,1652,310,386.762,386.762,0,17,17626.69,,,,,,,,,,,,,,,,,
barcelona,ALL,80,531,2626,1652,310,377.674,377.674,0,18,20089.37,,,UB : ALL,,,,,,,,,,,,,,
barcelona,SEQ,90,531,2626,1652,310,405.497,302.497,103,11,12020.61,,City / Dist,50,60,70,80,90,100,,,,,,,,,
barcelona,SEQ+REG2,90,531,2626,1652,310,383.401,383.401,0,18,13335.78,,antwerp,1518.91,1455.19,1193.55,988.244,960.587,913.018,,,,,,,,,
barcelona,SEQ+REG3,90,531,2626,1652,310,373.378,373.378,0,17,18266.62,,barcelona,382.136,388.586,385.624,377.674,383.61,385.37,,,,,,,,,
barcelona,ALL,90,531,2626,1652,310,383.61,383.61,0,18,19388.59,,boston,632.865,595.506,602.462,610.826,608.872,600.44,,,,,,,,,
barcelona,SEQ,100,531,2626,1652,310,411.044,308.044,103,11,14682.73,,bruxelles,209.994,205.401,207.552,203.758,206.439,207.559,,,,,,,,,
barcelona,SEQ+REG2,100,531,2626,1652,310,391.854,391.854,0,18,14185.71,,chicago,1623.57,1232.63,1092.35,1103.98,1127.41,1175.51,,,,,,,,,
barcelona,SEQ+REG3,100,531,2626,1652,310,391.024,391.024,0,18,16499.29,,madrid,487.342,488.15,485.401,485.328,487.833,500.189,,,,,,,,,
barcelona,ALL,100,531,2626,1652,310,385.37,385.37,0,18,16651.76,,newyork,4167.91,4586.2,4678.73,4663.78,4611.3,4619.21,,,,,,,,,
boston,SEQ,50,553,4748,518,90,728.349,535.349,193,22,5594.25,,paris,1434.73,1447.19,1412.61,1414.71,1415.82,1397.61,,,,,,,,,
boston,SEQ+REG2,50,553,4748,518,90,632.531,632.531,0,30,8874.65,,toronto,749.085,723.286,713.716,709.608,713.031,723.573,,,,,,,,,
boston,SEQ+REG3,50,553,4748,518,90,639.175,639.175,0,30,11321.79,,AVG,1245.171333,1235.793222,1196.888333,1173.100889,1168.322444,1169.164333,,,,,,,,,
boston,ALL,50,553,4748,518,90,632.865,632.865,0,30,11356.83,,,,,,,,,,,,,,,,,
boston,SEQ,60,553,4748,518,90,759.87,479.87,280,20,7481.3,,,,,,,,,,,,,,,,,
boston,SEQ+REG2,60,553,4748,518,90,612.549,612.549,0,29,10457.44,,,,,,,,,,,,,,,,,
boston,SEQ+REG3,60,553,4748,518,90,611.661,611.661,0,30,13530.48,,,,,,,,,,,,,,,,,
boston,ALL,60,553,4748,518,90,595.506,595.506,0,29,12561.05,,,,,,,,,,,,,,,,,
boston,SEQ,70,553,4748,518,90,802.013,463.013,339,18,7453.53,,,,,,,,,,,,,,,,,
boston,SEQ+REG2,70,553,4748,518,90,608.759,608.759,0,29,11280.57,,,,,,,,,,,,,,,,,
boston,SEQ+REG3,70,553,4748,518,90,600.09,600.09,0,30,12080.91,,,,,,,,,,,,,,,,,
boston,ALL,70,553,4748,518,90,602.462,602.462,0,30,11136.14,,,,,,,,,,,,,,,,,
boston,SEQ,80,553,4748,518,90,815.154,451.154,364,17,7242.44,,,,,,,,,,,,,,,,,
boston,SEQ+REG2,80,553,4748,518,90,608.789,608.789,0,29,12517.65,,,,,,,,,,,,,,,,,
boston,SEQ+REG3,80,553,4748,518,90,604.34,604.34,0,29,11856.58,,,,,,,,,,,,,,,,,
boston,ALL,80,553,4748,518,90,610.826,610.826,0,29,11692.99,,,,,,,,,,,,,,,,,
boston,SEQ,90,553,4748,518,90,772.99,472.99,300,19,8812.81,,,,,,,,,,,,,,,,,
boston,SEQ+REG2,90,553,4748,518,90,612.476,612.476,0,29,10619.99,,,,,,,,,,,,,,,,,
boston,SEQ+REG3,90,553,4748,518,90,600.875,600.875,0,29,10969.96,,,,,,,,,,,,,,,,,
boston,ALL,90,553,4748,518,90,608.872,608.872,0,29,12298.85,,,,,,,,,,,,,,,,,
boston,SEQ,100,553,4748,518,90,795.48,466.48,329,18,7530.48,,,,,,,,,,,,,,,,,
boston,SEQ+REG2,100,553,4748,518,90,607.047,607.047,0,29,10513.89,,,,,,,,,,,,,,,,,
boston,SEQ+REG3,100,553,4748,518,90,605.895,605.895,0,29,11997.49,,,,,,,,,,,,,,,,,
boston,ALL,100,553,4748,518,90,600.44,600.44,0,29,11652.9,,,,,,,,,,,,,,,,,
bruxelles,SEQ,50,344,1916,1560,302,205.716,205.716,0,9,4902.95,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,50,344,1916,1560,302,203.036,203.036,0,10,6794.45,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,50,344,1916,1560,302,205.274,205.274,0,11,5989.02,,,,,,,,,,,,,,,,,
bruxelles,ALL,50,344,1916,1560,302,209.994,209.994,0,10,6294.43,,,,,,,,,,,,,,,,,
bruxelles,SEQ,60,344,1916,1560,302,211.864,211.864,0,7,6740.22,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,60,344,1916,1560,302,205.624,205.624,0,10,6930.33,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,60,344,1916,1560,302,203.969,203.969,0,10,7228.75,,,,,,,,,,,,,,,,,
