City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,,,,,,
barcelona,SEQ+REG3,60,531,2626,1652,310,394.674,394.674,0,18,15202.48,,madrid,489.532,497.176,489.498,485.149,488.123,487.542,,,,,,,,,
barcelona,SEQ+REG2,60,531,2626,1652,310,374.227,374.227,0,17,15867.07,,newyork,4138.15,4515.63,4546.44,4613.44,4717.59,4653.18,,,,,,,,,
barcelona,ALL,60,531,2626,1652,310,388.586,388.586,0,18,17460.93,,paris,1438.12,1421.49,1406.18,1425.77,1434.25,1397.02,,,,,,,,,
barcelona,SEQ,65,531,2626,1652,310,406.683,299.683,107,11,13069.32,,toronto,746.017,726.477,707.789,711.632,720.005,712.27,,,,,,,,,
barcelona,SEQ+REG3,65,531,2626,1652,310,370.158,370.158,0,17,19005.42,,AVG,1243.554889,1261.185,1224.626778,1202.212222,1208.749444,1178.574,,,,,,,,,
barcelona,SEQ+REG2,65,531,2626,1652,310,378.637,378.637,0,18,13942.12,,,,,,,,,,,,,,,,,
barcelona,ALL,65,531,2626,1652,310,379.681,379.681,0,18,19658.09,,,UB : ALL,,,,,,,,,,,,,,
barcelona,SEQ,70,531,2626,1652,310,401.442,324.442,77,12,11871.23,,City / Dist,50,55,60,65,70,75,,,,,,,,,
barcelona,SEQ+REG3,70,531,2626,1652,310,391.51,391.51,0,18,16034.89,,antwerp,1518.91,1474.88,1455.19,1283.71,1193.55,1051.49,,,,,,,,,
barcelona,SEQ+REG2,70,531,2626,1652,310,374.321,374.321,0,17,16519.29,,barcelona,382.136,390.999,388.586,379.681,385.624,377.891,,,,,,,,,
barcelona,ALL,70,531,2626,1652,310,385.624,385.624,0,18,18327.78,,boston,632.865,622.948,595.506,607.699,602.462,601.408,,,,,,,,,
barcelona,SEQ,75,531,2626,1652,310,410.707,319.707,91,12,12123.24,,bruxelles,209.994,200.819,205.401,204.333,207.552,205.342,,,,,,,,,
barcelona,SEQ+REG3,75,531,2626,1652,310,392.441,392.441,0,18,17186.37,,chicago,1623.57,1461.96,1232.63,1147.06,1092.35,1163.04,,,,,,,,,
barcelona,SEQ+REG2,75,531,2626,1652,310,388.265,388.265,0,18,14883.89,,madrid,487.342,495.223,488.15,486.775,485.401,478.426,,,,,,,,,
barcelona,ALL,75,531,2626,1652,310,377.891,377.891,0,17,17081.56,,newyork,4167.91,4548.31,4586.2,4663.89,4678.73,4691.3,,,,,,,,,
boston,SEQ,50,553,4748,518,90,728.349,535.349,193,22,5594.25,,paris,1434.73,1426.14,1447.19,1399.42,1412.61,1411.85,,,,,,,,,
boston,SEQ+REG3,50,553,4748,518,90,639.175,639.175,0,30,11321.79,,toronto,749.085,739.039,723.286,708.286,713.716,714.753,,,,,,,,,
boston,SEQ+REG2,50,553,4748,518,90,632.531,632.531,0,30,8874.65,,AVG,1245.171333,1262.257556,1235.793222,1208.983778,1196.888333,1188.388889,,,,,,,,,
boston,ALL,50,553,4748,518,90,632.865,632.865,0,30,11356.83,,,,,,,,,,,,,,,,,
boston,SEQ,55,553,4748,518,90,772.222,518.222,254,21,6240.25,,,,,,,,,,,,,,,,,
boston,SEQ+REG3,55,553,4748,518,90,601.316,601.316,0,29,12021.78,,,,,,,,,,,,,,,,,
boston,SEQ+REG2,55,553,4748,518,90,710.73,492.73,218,22,8914.04,,,,,,,,,,,,,,,,,
boston,ALL,55,553,4748,518,90,622.948,622.948,0,30,12297.03,,,,,,,,,,,,,,,,,
boston,SEQ,60,553,4748,518,90,759.87,479.87,280,20,7481.3,,,,,,,,,,,,,,,,,
boston,SEQ+REG3,60,553,4748,518,90,611.661,611.661,0,30,13530.48,,,,,,,,,,,,,,,,,
boston,SEQ+REG2,60,553,4748,518,90,612.549,612.549,0,29,10457.44,,,,,,,,,,,,,,,,,
boston,ALL,60,553,4748,518,90,595.506,595.506,0,29,12561.05,,,,,,,,,,,,,,,,,
boston,SEQ,65,553,4748,518,90,791.415,465.415,326,18,7598.48,,,,,,,,,,,,,,,,,
boston,SEQ+REG3,65,553,4748,518,90,594.396,594.396,0,30,12435.34,,,,,,,,,,,,,,,,,
boston,SEQ+REG2,65,553,4748,518,90,600.2,600.2,0,29,9870.78,,,,,,,,,,,,,,,,,
boston,ALL,65,553,4748,518,90,607.699,607.699,0,29,12846.36,,,,,,,,,,,,,,,,,
boston,SEQ,70,553,4748,518,90,802.013,463.013,339,18,7453.53,,,,,,,,,,,,,,,,,
boston,SEQ+REG3,70,553,4748,518,90,600.09,600.09,0,30,12080.91,,,,,,,,,,,,,,,,,
boston,SEQ+REG2,70,553,4748,518,90,608.759,608.759,0,29,11280.57,,,,,,,,,,,,,,,,,
boston,ALL,70,553,4748,518,90,602.462,602.462,0,30,11136.14,,,,,,,,,,,,,,,,,
boston,SEQ,75,553,4748,518,90,815.551,451.551,364,17,7601.25,,,,,,,,,,,,,,,,,
boston,SEQ+REG3,75,553,4748,518,90,609.124,609.124,0,29,13327.36,,,,,,,,,,,,,,,,,
boston,SEQ+REG2,75,553,4748,518,90,601.295,601.295,0,30,11190.02,,,,,,,,,,,,,,,,,
boston,ALL,75,553,4748,518,90,601.408,601.408,0,29,13312.74,,,,,,,,,,,,,,,,,
bruxelles,SEQ,50,344,1916,1560,302,205.716,205.716,0,9,4902.95,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,50,344,1916,1560,302,205.274,205.274,0,11,5989.02,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,50,344,1916,1560,302,203.036,203.036,0,10,6794.45,,,,,,,,,,,,,,,,,
bruxelles,ALL,50,344,1916,1560,302,209.994,209.994,0,10,6294.43,,,,,,,,,,,,,,,,,
bruxelles,SEQ,55,344,1916,1560,302,204.818,204.818,0,8,6112.34,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,55,344,1916,1560,302,207.298,207.298,0,10,8314.26,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,55,344,1916,1560,302,203.167,203.167,0,10,6991.63,,,,,,,,,,,,,,,,,
bruxelles,ALL,55,344,1916,1560,302,200.819,200.819,0,10,8784.35,,,,,,,,,,,,,,,,,
bruxelles,SEQ,60,344,1916,1560,302,211.864,211.864,0,7,6740.22,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,60,344,1916,1560,302,203.969,203.969,0,10,7228.75,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,60,344,1916,1560,302,205.624,205.624,0,10,6930.33,,,,,,,,,,,,,,,,,
bruxelles,ALL,60,344,1916,1560,302,205.401,205.401,0,10,6378.17,,,,,,,,,,,,,,,,,
bruxelles,SEQ,65,344,1916,1560,302,216.224,216.224,0,6,7684.87,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,65,344,1916,1560,302,207.825,207.825,0,11,7484.82,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,65,344,1916,1560,302,206.094,206.094,0,10,6837.8,,,,,,,,,,,,,,,,,
bruxelles,ALL,65,344,1916,1560,302,204.333,204.333,0,10,7888.93,,,,,,,,,,,,,,,,,
bruxelles,SEQ,70,344,1916,1560,302,214.063,214.063,0,6,7928.53,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,70,344,1916,1560,302,199.767,199.767,0,10,7686.47,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,70,344,1916,1560,302,202.865,202.865,0,9,8009.3,,,,,,,,,,,,,,,,,
bruxelles,ALL,70,344,1916,1560,302,207.552,207.552,0,10,8679.52,,,,,,,,,,,,,,,,,
bruxelles,SEQ,75,344,1916,1560,302,210.13,210.13,0,7,6315.61,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,75,344,1916,1560,302,207.029,207.029,0,10,9334.37,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,75,344,1916,1560,302,200.399,200.399,0,10,6974.22,,,,,,,,,,,,,,,,,
bruxelles,ALL,75,344,1916,1560,302,205.342,205.342,0,10,7381.59,,,,,,,,,,,,,,,,,
chicago,SEQ,50,1842,3766,2324,427,1602.11,1602.11,0,46,5186.06,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,50,1842,3766,2324,427,1628.37,1628.37,0,46,8684.5,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,50,1842,3766,2324,427,1599.9,1599.9,0,45,5695.23,,,,,,,,,,,,,,,,,
chicago,ALL,50,1842,3766,2324,427,1623.57,1623.57,0,45,7697.39,,,,,,,,,,,,,,,,,
chicago,SEQ,55,1842,3766,2324,427,1502.97,1502.97,0,41,6483.53,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,55,1842,3766,2324,427,1521.61,1521.61,0,40,12915.61,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,55,1842,3766,2324,427,1465.79,1465.79,0,40,9320.33,,,,,,,,,,,,,,,,,
chicago,ALL,55,1842,3766,2324,427,1461.96,1461.96,0,43,10737.21,,,,,,,,,,,,,,,,,
chicago,SEQ,60,1842,3766,2324,427,1210.53,1210.53,0,33,11364.37,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,60,1842,3766,2324,427,1267.33,1267.33,0,34,15760.24,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,60,1842,3766,2324,427,1225.64,1225.64,0,32,14926.45,,,,,,,,,,,,,,,,,
chicago,ALL,60,1842,3766,2324,427,1232.63,1232.63,0,32,16008.82,,,,,,,,,,,,,,,,,
chicago,SEQ,65,1842,3766,2324,427,1105.08,1105.08,0,29,13322.18,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,65,1842,3766,2324,427,1152.6,1152.6,0,31,24433.11,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,65,1842,3766,2324,427,1142.59,1142.59,0,31,17609.74,,,,,,,,,,,,,,,,,
chicago,ALL,65,1842,3766,2324,427,1147.06,1147.06,0,31,18543.71,,,,,,,,,,,,,,,,,
chicago,SEQ,70,1842,3766,2324,427,1136.31,1136.31,0,30,12648.78,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,70,1842,3766,2324,427,1145.45,1145.45,0,30,19785.31,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,70,1842,3766,2324,427,1127.99,1127.99,0,30,16789.99,,,,,,,,,,,,,,,,,
chicago,ALL,70,1842,3766,2324,427,1092.35,1092.35,0,29,18751.26,,,,,,,,,,,,,,,,,
chicago,SEQ,75,1842,3766,2324,427,1080.54,1080.54,0,28,15250.72,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,75,1842,3766,2324,427,1085.79,1085.79,0,29,21411.63,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,75,1842,3766,2324,427,1129.94,1129.94,0,31,20576.32,,,,,,,,,,,,,,,,,
chicago,ALL,75,1842,3766,2324,427,1163.04,1163.04,0,30,20482.56,,,,,,,,,,,,,,,,,
madrid,SEQ,50,606,0,5363,1026,488.261,485.261,3,19,8764.57,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,50,606,0,5363,1026,489.532,489.532,0,19,18747.37,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,50,606,0,5363,1026,482.041,482.041,0,21,13045.72,,,,,,,,,,,,,,,,,
madrid,ALL,50,606,0,5363,1026,487.342,487.342,0,21,16701.94,,,,,,,,,,,,,,,,,
madrid,SEQ,55,606,0,5363,1026,472.816,462.816,10,18,8065.11,,,,,,,,,,,,,,,,,
